23-10-2024 01:07;76.710.649/0002-49;sucesso
23-10-2024 14:04;76.710.649/0002-49;sucesso
07-11-2024 05:02;76.710.649/0002-49;sucesso
07-11-2024 06:14;76.710.649/0002-49;sucesso
07-11-2024 06:27;76.710.649/0002-49;sucesso
07-11-2024 06:44;76.710.649/0002-49;sucesso
07-11-2024 07:30;76.710.649/0002-49;sucesso
07-11-2024 07:50;76.710.649/0002-49;sucesso
07-11-2024 08:12;76.710.649/0002-49;sucesso
07-11-2024 08:57;76.710.649/0002-49;sucesso
07-11-2024 09:16;76.710.649/0002-49;sucesso
07-11-2024 10:24;76.710.649/0002-49;sucesso
28-01-2025 08:57;76.710.649/0002-49;sucesso
07-02-2025 00:11;76.710.649/0002-49;sucesso
07-02-2025 00:57;76.710.649/0002-49;sucesso
07-02-2025 01:26;76.710.649/0002-49;sucesso
07-02-2025 01:49;76.710.649/0002-49;sucesso
11-02-2025 23:56;31.418.732/0001-20;sucesso
18-02-2025 22:47;31.418.732/0001-20;sucesso
20-02-2025 22:38;31.418.732/0001-20;sucesso
22-02-2025 16:36;31.418.732/0001-20;sucesso
24-02-2025 22:58;31.418.732/0001-20;sucesso
25-02-2025 22:44;31.418.732/0001-20;sucesso
26-02-2025 01:13;31.418.732/0001-20;sucesso
26-02-2025 08:33;31.418.732/0001-20;sucesso
26-02-2025 11:52;31.418.732/0001-20;sucesso
26-02-2025 11:58;31.418.732/0001-20;sucesso
28-02-2025 00:18;31.418.732/0001-20;sucesso
28-02-2025 01:18;31.418.732/0001-20;sucesso
05-03-2025 20:08;31.418.732/0001-20;sucesso
17-03-2025 16:37;31.418.732/0001-20;sucesso
17-03-2025 16:47;31.418.732/0001-20;sucesso
17-03-2025 18:42;31.418.732/0001-20;sucesso
17-03-2025 19:02;31.418.732/0001-20;sucesso
17-03-2025 19:07;31.418.732/0001-20;sucesso
17-03-2025 19:42;31.418.732/0001-20;sucesso
17-03-2025 19:46;31.418.732/0001-20;sucesso
17-03-2025 22:42;31.418.732/0001-20;sucesso
17-03-2025 22:51;31.418.732/0001-20;sucesso
17-03-2025 22:57;31.418.732/0001-20;sucesso
17-03-2025 23:01;31.418.732/0001-20;sucesso
17-03-2025 23:14;31.418.732/0001-20;sucesso
17-03-2025 23:29;31.418.732/0001-20;sucesso
17-03-2025 23:36;31.418.732/0001-20;sucesso
17-03-2025 23:43;31.418.732/0001-20;sucesso
17-03-2025 23:47;31.418.732/0001-20;sucesso
17-03-2025 23:51;31.418.732/0001-20;sucesso
18-03-2025 00:11;31.418.732/0001-20;sucesso
18-03-2025 00:35;31.418.732/0001-20;sucesso
